marque,nom,puissance,longueur,nbPlaces,nbPortes,couleur,occasion,prix,Bonus / Malus,Rejets CO2 g/km,Cout energie
Volvo,S80 T6,272,tres longue,5,5,blanc,False,50500,-3631.881187390861,42.45454545454545,72.72727272727273
Volvo,S80 T6,272,tres longue,5,5,noir,False,50500,-3631.881187390861,42.45454545454545,72.72727272727273
Volvo,S80 T6,272,tres longue,5,5,rouge,False,50500,-3631.881187390861,42.45454545454545,72.72727272727273
Volvo,S80 T6,272,tres longue,5,5,gris,True,35350,-3631.881187390861,42.45454545454545,72.72727272727273
Volvo,S80 T6,272,tres longue,5,5,bleu,True,35350,-3631.881187390861,42.45454545454545,72.72727272727273
Volvo,S80 T6,272,tres longue,5,5,gris,False,50500,-3631.881187390861,42.45454545454545,72.72727272727273
Volvo,S80 T6,272,tres longue,5,5,bleu,False,50500,-3631.881187390861,42.45454545454545,72.72727272727273
Volvo,S80 T6,272,tres longue,5,5,rouge,True,35350,-3631.881187390861,42.45454545454545,72.72727272727273
Volvo,S80 T6,272,tres longue,5,5,blanc,True,35350,-3631.881187390861,42.45454545454545,72.72727272727273
Volvo,S80 T6,272,tres longue,5,5,noir,True,35350,-3631.881187390861,42.45454545454545,72.72727272727273
Volkswagen,Touran 2.0 FSI,150,longue,7,5,rouge,False,27340,-6000.0,13.333333333333334,149.33333333333334
Volkswagen,Touran 2.0 FSI,150,longue,7,5,gris,True,19138,-6000.0,13.333333333333334,149.33333333333334
Volkswagen,Touran 2.0 FSI,150,longue,7,5,bleu,True,19138,-6000.0,13.333333333333334,149.33333333333334
Volkswagen,Touran 2.0 FSI,150,longue,7,5,gris,False,27340,-6000.0,13.333333333333334,149.33333333333334
Volkswagen,Touran 2.0 FSI,150,longue,7,5,bleu,False,27340,-6000.0,13.333333333333334,149.33333333333334
Volkswagen,Touran 2.0 FSI,150,longue,7,5,blanc,True,19138,-6000.0,13.333333333333334,149.33333333333334
Volkswagen,Touran 2.0 FSI,150,longue,7,5,noir,True,19138,-6000.0,13.333333333333334,149.33333333333334
Volkswagen,Touran 2.0 FSI,150,longue,7,5,rouge,True,19138,-6000.0,13.333333333333334,149.33333333333334
Volkswagen,Touran 2.0 FSI,150,longue,7,5,blanc,False,27340,-6000.0,13.333333333333334,149.33333333333334
Volkswagen,Touran 2.0 FSI,150,longue,7,5,noir,False,27340,-6000.0,13.333333333333334,149.33333333333334
Volkswagen,Polo 1.2 6V,55,courte,5,3,blanc,True,8540,-6000.0,13.333333333333334,149.33333333333334
Volkswagen,Polo 1.2 6V,55,courte,5,3,blanc,False,12200,-6000.0,13.333333333333334,149.33333333333334
Volkswagen,Polo 1.2 6V,55,courte,5,3,noir,False,12200,-6000.0,13.333333333333334,149.33333333333334
Volkswagen,Polo 1.2 6V,55,courte,5,3,noir,True,8540,-6000.0,13.333333333333334,149.33333333333334
Volkswagen,Polo 1.2 6V,55,courte,5,3,bleu,True,8540,-6000.0,13.333333333333334,149.33333333333334
Volkswagen,Polo 1.2 6V,55,courte,5,3,bleu,False,12200,-6000.0,13.333333333333334,149.33333333333334
Volkswagen,Polo 1.2 6V,55,courte,5,3,rouge,True,8540,-6000.0,13.333333333333334,149.33333333333334
Volkswagen,Polo 1.2 6V,55,courte,5,3,rouge,False,12200,-6000.0,13.333333333333334,149.33333333333334
Volkswagen,Polo 1.2 6V,55,courte,5,3,gris,False,12200,-6000.0,13.333333333333334,149.33333333333334
Volkswagen,Polo 1.2 6V,55,courte,5,3,gris,True,8540,-6000.0,13.333333333333334,149.33333333333334
Volkswagen,New Beatle 1.8,110,moyenne,5,5,blanc,True,18641,-6000.0,13.333333333333334,149.33333333333334
Volkswagen,New Beatle 1.8,110,moyenne,5,5,noir,True,18641,-6000.0,13.333333333333334,149.33333333333334
Volkswagen,New Beatle 1.8,110,moyenne,5,5,rouge,True,18641,-6000.0,13.333333333333334,149.33333333333334
Volkswagen,New Beatle 1.8,110,moyenne,5,5,gris,True,18641,-6000.0,13.333333333333334,149.33333333333334
Volkswagen,New Beatle 1.8,110,moyenne,5,5,bleu,True,18641,-6000.0,13.333333333333334,149.33333333333334
Volkswagen,New Beatle 1.8,110,moyenne,5,5,rouge,False,26630,-6000.0,13.333333333333334,149.33333333333334
Volkswagen,New Beatle 1.8,110,moyenne,5,5,gris,False,26630,-6000.0,13.333333333333334,149.33333333333334
Volkswagen,New Beatle 1.8,110,moyenne,5,5,bleu,False,26630,-6000.0,13.333333333333334,149.33333333333334
Volkswagen,New Beatle 1.8,110,moyenne,5,5,blanc,False,26630,-6000.0,13.333333333333334,149.33333333333334
Volkswagen,New Beatle 1.8,110,moyenne,5,5,noir,False,26630,-6000.0,13.333333333333334,149.33333333333334
Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,rouge,True,16029,-6000.0,13.333333333333334,149.33333333333334
Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,gris,True,16029,-6000.0,13.333333333333334,149.33333333333334
Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,bleu,True,16029,-6000.0,13.333333333333334,149.33333333333334
Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,blanc,True,16029,-6000.0,13.333333333333334,149.33333333333334
Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,noir,True,16029,-6000.0,13.333333333333334,149.33333333333334
Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,blanc,False,22900,-6000.0,13.333333333333334,149.33333333333334
Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,noir,False,22900,-6000.0,13.333333333333334,149.33333333333334
Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,bleu,False,22900,-6000.0,13.333333333333334,149.33333333333334
Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,rouge,False,22900,-6000.0,13.333333333333334,149.33333333333334
Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,gris,False,22900,-6000.0,13.333333333333334,149.33333333333334
Skoda,Superb 2.8 V6,193,tres longue,5,5,rouge,False,31790,-6000.0,27.555555555555557,98.88888888888889
Skoda,Superb 2.8 V6,193,tres longue,5,5,gris,False,31790,-6000.0,27.555555555555557,98.88888888888889
Skoda,Superb 2.8 V6,193,tres longue,5,5,bleu,False,31790,-6000.0,27.555555555555557,98.88888888888889
Skoda,Superb 2.8 V6,193,tres longue,5,5,noir,False,31790,-6000.0,27.555555555555557,98.88888888888889
Skoda,Superb 2.8 V6,193,tres longue,5,5,blanc,False,31790,-6000.0,27.555555555555557,98.88888888888889
Seat,Toledo 1.6,102,longue,5,5,blanc,False,18880,-3631.881187390861,43.80713217772032,251.03820028355162
Seat,Toledo 1.6,102,longue,5,5,noir,False,18880,-3631.881187390861,43.80713217772032,251.03820028355162
Seat,Toledo 1.6,102,longue,5,5,rouge,False,18880,-3631.881187390861,43.80713217772032,251.03820028355162
Seat,Toledo 1.6,102,longue,5,5,gris,False,18880,-3631.881187390861,43.80713217772032,251.03820028355162
Seat,Toledo 1.6,102,longue,5,5,bleu,False,18880,-3631.881187390861,43.80713217772032,251.03820028355162
Saab,9.3 1.8T,150,longue,5,5,blanc,True,27020,-3631.881187390861,43.80713217772032,251.03820028355162
Saab,9.3 1.8T,150,longue,5,5,rouge,True,27020,-3631.881187390861,43.80713217772032,251.03820028355162
Saab,9.3 1.8T,150,longue,5,5,gris,True,27020,-3631.881187390861,43.80713217772032,251.03820028355162
Saab,9.3 1.8T,150,longue,5,5,bleu,True,27020,-3631.881187390861,43.80713217772032,251.03820028355162
Saab,9.3 1.8T,150,longue,5,5,noir,True,27020,-3631.881187390861,43.80713217772032,251.03820028355162
Saab,9.3 1.8T,150,longue,5,5,gris,False,38600,-3631.881187390861,43.80713217772032,251.03820028355162
Saab,9.3 1.8T,150,longue,5,5,bleu,False,38600,-3631.881187390861,43.80713217772032,251.03820028355162
Saab,9.3 1.8T,150,longue,5,5,noir,False,38600,-3631.881187390861,43.80713217772032,251.03820028355162
Saab,9.3 1.8T,150,longue,5,5,rouge,False,38600,-3631.881187390861,43.80713217772032,251.03820028355162
Saab,9.3 1.8T,150,longue,5,5,blanc,False,38600,-3631.881187390861,43.80713217772032,251.03820028355162
Renault,Vel Satis 3.5 V6,245,tres longue,5,5,gris,True,34440,-6000.0,0.0,206.0
Renault,Vel Satis 3.5 V6,245,tres longue,5,5,noir,True,34440,-6000.0,0.0,206.0
Renault,Vel Satis 3.5 V6,245,tres longue,5,5,bleu,True,34440,-6000.0,0.0,206.0
Renault,Vel Satis 3.5 V6,245,tres longue,5,5,rouge,True,34440,-6000.0,0.0,206.0
Renault,Vel Satis 3.5 V6,245,tres longue,5,5,blanc,True,34440,-6000.0,0.0,206.0
Renault,Vel Satis 3.5 V6,245,tres longue,5,5,gris,False,49200,-6000.0,0.0,206.0
Renault,Vel Satis 3.5 V6,245,tres longue,5,5,bleu,False,49200,-6000.0,0.0,206.0
Renault,Vel Satis 3.5 V6,245,tres longue,5,5,blanc,False,49200,-6000.0,0.0,206.0
Renault,Vel Satis 3.5 V6,245,tres longue,5,5,noir,False,49200,-6000.0,0.0,206.0
Renault,Vel Satis 3.5 V6,245,tres longue,5,5,rouge,False,49200,-6000.0,0.0,206.0
Renault,Megane 2.0 16V,135,moyenne,5,5,gris,True,15644,-6000.0,0.0,206.0
Renault,Megane 2.0 16V,135,moyenne,5,5,bleu,True,15644,-6000.0,0.0,206.0
Renault,Megane 2.0 16V,135,moyenne,5,5,rouge,True,15644,-6000.0,0.0,206.0
Renault,Megane 2.0 16V,135,moyenne,5,5,blanc,True,15644,-6000.0,0.0,206.0
Renault,Megane 2.0 16V,135,moyenne,5,5,noir,True,15644,-6000.0,0.0,206.0
Renault,Megane 2.0 16V,135,moyenne,5,5,gris,False,22350,-6000.0,0.0,206.0
Renault,Megane 2.0 16V,135,moyenne,5,5,bleu,False,22350,-6000.0,0.0,206.0
Renault,Megane 2.0 16V,135,moyenne,5,5,blanc,False,22350,-6000.0,0.0,206.0
Renault,Megane 2.0 16V,135,moyenne,5,5,noir,False,22350,-6000.0,0.0,206.0
